Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,4816,4783,2100.0,2356.0274887458418,2033.335199999783,39183.42600000142,4.742732558139535,122.24516340837808,121.40752005445854,2100,2200,2200,2200,2200,2200,2200,2200,38000,39000,39000
GET,/health,377,376,2006.483000001026,2046.8892095490428,2006.483000001026,4247.655299999678,0.6021220159151194,9.569440740232254,9.544057608295299,2000,2000,2000,2100,2100,2100,2100,2200,4200,4200,4200
GET,/menu,2041,2037,2003.5505999985617,2043.585914502718,2003.5505999985617,4439.381100000901,7.263106320431161,51.80697228332634,51.70543975557852,2000,2000,2000,2000,2100,2100,2100,2200,2200,4400,4400
POST,/orders,1,1,6039.991999999984,6039.991999999984,6039.991999999984,6039.991999999984,145.0,0.025383131936955582,0.025383131936955582,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000
GET,/orders/my-orders,5,5,5200.0,4743.052679999892,2833.7011999992683,5409.07100000004,151.0,0.12691565968477792,0.12691565968477792,5200,5200,5200,5400,5400,5400,5400,5400,5400,5400,5400
GET,/runner/deliveries,11,0,2600.0,3377.7413909090023,2115.195999998832,4618.741000000227,90.0,0.2792144513065114,0.0,2600,4600,4600,4600,4600,4600,4600,4600,4600,4600,4600
,Aggregated,7251,7202,2100.0,2255.712988553302,2003.5505999985617,39183.42600000142,5.486415666804579,184.0530896748649,182.8093162099541,2100,2100,2200,2200,2200,2200,2200,2200,38000,39000,39000
