Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771256528,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771256529,100,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1771256530,200,,Aggregated,0.000000,0.000000,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1,0,1683.8004000001092,1683.8004000001092,1683.8004000001092,1683.8004000001092,696.0
1771256531,300,,Aggregated,0.000000,0.000000,2600,2600,2800,2800,2800,2800,2800,2800,2800,2800,2800,10,0,2600.0,2554.171139999744,1683.8004000001092,2797.0881999990524,696.0
1771256532,400,,Aggregated,0.000000,0.000000,2800,2800,3200,3400,3600,3800,3800,3800,3800,3800,3800,15,0,2800.0,2840.62595999967,1683.8004000001092,3809.448899999552,696.2
1771256533,500,,Aggregated,0.333333,0.000000,2000,2100,2100,2400,2800,3800,4700,4800,4800,4800,4800,100,78,2000.0,2272.61065499999,1683.8004000001092,4756.661100000201,243.48
1771256534,700,,Aggregated,2.750000,0.000000,2100,2100,2100,2100,2800,4000,5200,5600,6000,6000,6000,216,184,2100.0,2287.1061986110767,1683.8004000001092,5984.194700000444,204.8101851851852
1771256535,800,,Aggregated,18.800000,15.600000,2000,2100,2100,2100,2600,3800,5600,6200,6800,6800,6800,323,287,2000.0,2270.821356346726,1683.8004000001092,6828.501199999664,146.40866873065016
1771256536,900,,Aggregated,33.833333,29.666667,2100,2100,2100,2100,2400,3800,6000,7000,7900,7900,7900,451,407,2100.0,2279.1843583148366,1683.8004000001092,7881.487000000561,138.10643015521063
1771256537,1000,,Aggregated,45.428571,40.714286,2100,2100,2100,2100,2300,3800,6600,7900,8900,8900,8900,573,520,2100.0,2299.9035184991258,1683.8004000001092,8915.633399999933,115.94938917975567
1771256538,1000,,Aggregated,55.125000,50.500000,2100,2100,2100,2100,2300,3800,7500,8700,10000,10000,10000,698,636,2100.0,2314.576648424047,1683.8004000001092,9963.165600000139,100.91833810888252
1771256539,1000,,Aggregated,62.666667,57.555556,2100,2100,2100,2100,2100,3600,7700,9300,11000,11000,11000,827,755,2100.0,2323.8093146311744,11.627300000327523,11007.502399999794,90.14268440145102
1771256540,1000,,Aggregated,68.800000,63.400000,2100,2100,2100,2100,2200,3800,8300,10000,12000,12000,12000,910,828,2100.0,2349.5138913186574,11.627300000327523,12051.518399999622,86.27582417582417
1771256541,1000,,Aggregated,81.400000,75.000000,2100,2100,2100,2100,2300,3800,8500,10000,12000,12000,12000,932,846,2100.0,2354.889020386242,11.627300000327523,12257.930300000226,89.3422746781116
1771256542,1000,,Aggregated,89.300000,82.100000,2100,2100,2100,2100,2100,3600,8300,10000,12000,12000,12000,951,865,2100.0,2348.915484332252,11.627300000327523,12257.930300000226,87.55730809674027
1771256543,1000,,Aggregated,91.900000,83.800000,2100,2100,2100,2100,2300,3800,8700,11000,15000,15000,15000,966,877,2100.0,2372.6124116976976,11.627300000327523,14771.44159999989,87.7287784679089
1771256544,1000,,Aggregated,93.100000,85.600000,2100,2100,2100,2100,2200,3800,8700,11000,15000,15000,15000,978,889,2100.0,2368.4550097136726,11.627300000327523,14771.44159999989,86.65235173824131
1771256545,1000,,Aggregated,85.800000,78.800000,2100,2100,2100,2100,2300,3800,8900,11000,17000,17000,17000,1000,909,2100.0,2379.423259999971,11.627300000327523,16988.400199999887,85.538
1771256546,1000,,Aggregated,76.500000,70.100000,2100,2100,2100,2100,2300,5200,9700,12000,18000,18000,18000,1031,929,2100.0,2467.2860549951206,11.627300000327523,17837.651800000458,86.86420950533463
1771256547,1000,,Aggregated,66.200000,60.600000,2100,2100,2100,2100,2300,5400,9700,12000,18000,18000,18000,1051,947,2100.0,2478.687983539455,11.627300000327523,18243.59000000004,85.96574690770694
1771256548,1000,,Aggregated,56.200000,50.600000,2100,2100,2100,2100,2300,5200,9700,12000,18000,18000,18000,1067,963,2100.0,2471.87785004683,11.627300000327523,18243.59000000004,84.67666354264293
