Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/auth/login,836,742,2100.0,3319.644796650683,1683.8004000001092,28988.95799999991,77.44976076555024,28.730092939004262,25.49967579036024,2100,2100,2100,2100,3000,12000,24000,25000,29000,29000,29000
GET,/health,48,45,2006.6060000008292,2309.0309541665497,2006.6060000008292,6632.138799999666,14.125,1.6495747142012016,1.5464762945636266,2000,2000,2100,2100,2100,6300,6600,6600,6600,6600,6600
GET,/kitchen/orders,86,21,2300.0,3417.75036976746,291.37399999854097,8740.457199999582,80.11627906976744,2.955488029610486,0.7216889374630256,2300,4200,4700,5300,6400,6900,8600,8700,8700,8700,8700
GET,/menu,247,230,2000.0,2111.410783400842,11.627300000327523,8654.165599999033,255.06882591093117,8.48843655016035,7.904212172214091,2000,2000,2100,2100,2100,2300,4000,6700,8700,8700,8700
POST,/orders,16,16,3800.0,3587.317637500064,176.75599999893166,7879.423700000189,81.625,0.5498582380670672,0.5498582380670672,3800,3900,4300,4300,7800,7900,7900,7900,7900,7900,7900
GET,/orders/my-orders,23,23,3000.0,3245.500760869776,340.3715000004013,9498.47200000113,85.34782608695652,0.7904212172214091,0.7904212172214091,3000,3000,3000,3100,7900,8600,9500,9500,9500,9500,9500
GET,/runner/deliveries,9,0,2300.0,2946.6528222223537,2101.948199999242,4384.648399998696,90.0,0.3092952589127253,0.0,2300,2400,4200,4400,4400,4400,4400,4400,4400,4400,4400
,Aggregated,1265,1077,2100.0,3051.434787509867,11.627300000327523,28988.95799999991,110.19525691699604,43.473166947177496,37.01233264988946,2100,2100,2100,2100,4000,8300,22000,24000,29000,29000,29000
